zotuID,AF_T1_0,AF_T1_100,AF_T1_102,AF_T1_2,AF_T1_200,AF_T1_202,AF_T2_0,AF_T2_100,AF_T2_102,AF_T2_2,AF_T2_200,AF_T2_202,AF_T3_0,AF_T3_100,AF_T3_102,AF_T3_2,AF_T3_200,AF_T3_202,HV_T1_0,HV_T1_100,HV_T1_102,HV_T1_2,HV_T1_200,HV_T1_202,HV_T2_0,HV_T2_100,HV_T2_102,HV_T2_2,HV_T2_200,HV_T2_202,HV_T3_0,HV_T3_100,HV_T3_102,HV_T3_2,HV_T3_200,HV_T3_202,OW_T1_0,OW_T1_100,OW_T1_102,OW_T1_2,OW_T1_200,OW_T1_202,OW_T2_0,OW_T2_100,OW_T2_102,OW_T2_2,OW_T2_200,OW_T2_202,OW_T3_0,OW_T3_100,OW_T3_102,OW_T3_2,OW_T3_200,OW_T3_202,RL_T1_0,RL_T1_100,RL_T1_102,RL_T1_2,RL_T1_200,RL_T1_202,RL_T2_0,RL_T2_100,RL_T2_102,RL_T2_2,RL_T2_200,RL_T2_202,RL_T3_0,RL_T3_100,RL_T3_102,RL_T3_2,RL_T3_200,RL_T3_202
Zotu41,1291,43,29,200,1360,427,281,31,231,1949,282,175,332,98,163,1037,518,329,88,102,438,470,598,110,13,524,426,25,511,122,176,120,166,41,372,140,261,1,6,249,21,103,260,1,0,134,22,50,768,4,3,1027,4,39,7,127,247,26,105,119,21,364,284,15,28,38,7,828,1685,3,91,33
Zotu249,1,0,0,0,0,1,0,2,0,0,0,2,1,0,6,0,0,0,0,0,0,937,13904,0,0,9,0,0,3,0,0,0,2,1,0,2175,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,59,2482,0,0,0,0,5,1,0,0,0
Zotu24,229,27,21,0,1349,1673,3,3,0,159,40,3030,26,3,28,3,3,362,115,359,781,60,147,78,32,1034,405,17,4508,179,54,399,232,80,174,20,16,11,0,304,1,1,664,2,0,5,0,0,434,2,1,1097,0,2,1,378,82,1,1,10,2,620,2,0,0,1,0,88,148,0,4,1
Zotu55,23,104,0,2,22,311,87,285,37,48,1,463,48,172,3,135,5,89,67,238,155,3476,4615,50,2,309,195,276,1140,153,19,914,54,21,16,886,52,2,3,12,292,589,3,0,1,31,121,308,38,1,0,4,263,76,18,32,23,7,15,125,1,2,1192,2,67,49,9,163,17,5,476,54
Zotu52,4,753,1155,2,462,764,66,804,249,2,58,145,11,651,810,0,27,1478,202,44,40,1107,69,201,1322,280,11,1241,182,47,363,8,0,651,58,15,3,2,78,1006,1,1,346,49,111,1,0,3,332,22,1,680,0,1,3,120,8,0,308,136,0,446,412,0,3,0,0,339,81,0,8,169
Zotu140,0,2,0,1,0,1,0,1,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,0,6,9,0,13,1,1,0,0,0,0,4,1,3,8,1047,3,5,1966,1,0,1065,1,4,225,0,2,3202,1,1,9312,0,1
Zotu79,80,72,142,2,0,0,130,127,15,25,0,22,131,25,4,99,0,59,624,414,37,0,0,356,5528,134,23,3697,0,271,63,63,1,2700,0,0,81,0,0,1,20,141,16,0,0,10,34,53,0,0,0,0,4,5,717,0,0,430,0,0,58,1,0,40,72,6,28,0,1,4,91,30
Zotu29,19,1,3,0,2,1,1,2,1,5,26,2,0,1,1,3,10,16,5,18,1571,406,2,0,0,284,152,2,830,25,5,13,2979,1,1,2,74,1,1,53,2,0,20,0,4,10,2,1,2401,1,0,4639,1,0,1,35,362,0,193,1142,0,224,2,2,0,8,0,3,1010,0,5,7
Zotu35,311,34,33,37,44,67,143,81,401,504,99,17,166,99,449,229,353,100,103,1047,427,547,1208,93,32,1964,244,10,628,785,1,105,83,96,85,236,357,10,4,624,39,46,100,1,2,261,39,487,18,6,4,208,27,255,8,414,42,6,255,628,17,229,174,6,46,116,7,407,483,1,230,126
Zotu59,6,1,1,0,0,0,0,0,0,3,0,0,2,0,0,539,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,15,2,0,5,15,12,0,1033,3283,2,3,3,1,4283,2401,1,7,0,5,68,4509,13,0,2,2,0,3,0,0,1,2,0,63,3,0,1,16,0,0
Zotu96,5,18,5,6,3,5,1697,6,18,0,21,1,2,10,2,5,129,1,0,0,0,0,0,0,0,86,13,0,2,0,1,1,169,6,8,0,0,0,4,0,19,177,0,1,1,4,38,11,2,2,1,6,48,13,1542,6,3,5142,262,11,915,6,6,2565,7,2,1153,0,102,1835,4,3
Zotu131,1,604,2592,0,0,0,18,682,49,1,2,5,3,210,47,18,4,92,35,279,6,2,0,29,37,405,10,1779,0,197,727,556,21,127,0,1,63,3,0,38,1292,1958,0,1,0,3,19,31,0,4,2,7,205,9,4,0,0,86,69,465,15,76,493,73,342,253,0,11,74,1,313,1122
Zotu92,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,18,1061,483,5657,923,1,15,5038,477,9,199,291,3,2,8,6,9,59,1,0,0,18,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,457,32,0,11,0,0,2,1,0,370,6,0,3,29
Zotu51,4,6,9,0,12,5,0,0,0,32,0,13,2,5,1,2,0,28,201,39,11,1143,959,209,175,352,0,43,1824,64,0,0,1,24,564,247,13,0,0,1528,32,145,563,1,1,0,17,135,934,2,0,651,9,1,2,785,5,4,350,178,1,512,326,3,13,9,6,2359,232,0,36,312
Zotu69,9,18,2,0,0,0,95,956,58,52,0,0,1,2,339,39,1,3,75,537,1360,201,7,62,22,1589,1021,60,1,460,10,2834,422,161,3,5,388,1,1,38,2,6,2,1,1,1628,0,62,0,3,1,44,0,0,2,1,350,2,23,31,2,3,1,0,206,130,0,64,901,0,532,31
Zotu75,0,4411,90,1,47,1,0,660,0,0,0,1,1,69,0,0,4,2,418,0,0,0,0,313,86,0,0,2,0,0,3,0,0,0,0,1,1,304,2108,0,0,1,0,1618,2655,0,0,0,107,1069,846,0,0,0,1,1,0,0,0,0,2,0,2,0,1,1,0,2,0,0,0,0
Zotu73,1,1246,247,1,1,0,0,629,0,2,0,0,9,1071,0,0,0,2,229,3,7,951,0,152,194,74,0,258,0,3,2,2,0,11,0,0,1,956,1290,0,1,1,2,2049,1308,0,0,0,137,1949,1419,247,0,2,0,1,20,0,0,2,1,113,0,0,0,2,0,0,61,0,0,4
Zotu83,121,648,715,11,213,21,301,538,208,94,34,8,291,376,166,147,115,25,280,110,353,41,20,356,94,129,77,37,279,150,1102,18,56,307,315,4,691,2,0,794,30,617,256,4,3,75,39,194,951,5,2,592,10,45,29,26,79,30,595,414,14,113,27,12,62,87,5,46,364,5,501,140
Zotu44,16,202,78,29,0,0,154,438,36,6,1,1,39,159,52,49,30,17,180,357,13,4800,75,31,91,1458,67,1710,205,49,1357,393,42,545,5,4,27,1,0,9,88,273,1,0,0,3,52,66,9,1,0,22,45,35,167,19,29,142,35,94,73,29,43,34,53,45,72,12,185,46,72,109
Zotu33,23,42,0,0,5,0,72,0,0,194,0,2,300,377,0,32,0,0,1756,86,31,1,5,1886,510,186,5,540,18,74,10,0,230,380,2,1,540,2,0,521,16,15,29,1,5,1,1,50,1,1,1,2,1,2,1,90,3,0,1424,1196,0,77,2,2,351,657,1,930,5,0,393,1432
Zotu154,177,1,0,1,0,0,1,6,0,199,24,2,0,0,3,150,168,1,1,31,719,3501,11,0,0,385,114,57,0,15,0,162,2205,13,1,3,162,0,0,2,42,325,0,0,0,7,9,128,4,1,4,162,3,7,0,1,371,0,1,453,0,2,2,1,38,196,1,28,4179,1,206,30
Zotu104,200,110,109,1,4,0,100,89,7,303,432,2,156,2,12,91,180,78,31,213,481,2196,1,24,38,611,370,396,293,125,42,396,853,256,319,0,105,14,32,579,8,7,151,13,33,155,1,1,159,11,19,1905,1,0,6,36,56,17,369,406,9,511,101,52,22,112,4,131,352,4,35,345
Zotu68,8,25,92,156,0,0,282,126,28,85,534,0,123,27,53,379,283,1,1,657,468,3,1,0,6,589,248,350,0,221,584,576,83,142,6,0,493,1,0,1,392,750,23,0,0,405,344,192,2,2,0,4,64,216,913,1,53,579,206,393,295,88,1,158,179,158,1315,0,6,353,157,376
Zotu49,412,5,28,59,6,3,89,28,39,348,194,112,110,11,102,149,122,194,14,154,1677,1408,421,7,16,796,316,256,3357,71,41,196,1112,135,40,38,90,6,4,31,35,71,36,0,3,28,8,29,40,1,4,164,5,8,5,20,343,6,36,144,1,52,1,23,22,80,1,22,490,1,72,65
Zotu94,613,2,143,146,3,0,795,16,191,169,1597,5,878,4,278,744,803,464,7,1506,0,2,0,6,56,126,186,334,0,599,1257,289,2,306,0,0,413,0,0,2,100,583,12,0,1,554,89,203,2,1,1,2,5,94,57,0,8,22,0,1,21,0,0,3,16,90,17,0,0,9,153,4
Zotu111,78,45,365,0,0,0,94,0,29,36,19,1,345,0,1,115,115,0,112,294,89,0,0,252,877,88,875,566,0,678,272,521,94,500,0,0,334,0,0,1,56,340,21,1,0,771,77,196,1,1,1,0,10,43,402,0,1,441,264,942,172,1,2,50,228,604,7,2,0,5,419,2064
Zotu78,34,384,34,47,236,185,21,237,25,49,27,20,3,245,173,31,138,33,1178,133,54,407,429,1051,840,341,85,180,188,107,423,86,19,613,2684,135,185,9,3,267,24,147,249,2,2,114,15,126,196,6,3,173,38,19,10,148,46,5,298,201,7,131,189,5,21,28,11,124,89,15,38,65
Zotu174,257,4,1,598,1,0,195,1,165,46,223,2,1192,1,269,687,1035,2237,0,180,0,0,0,0,0,4,18,1,0,198,4,88,951,1,0,0,186,0,0,2,9,768,1,1,3,319,65,576,0,2,1,4,6,354,617,0,10,340,0,37,317,1,0,59,130,339,496,0,0,427,317,21
Zotu46,351,37,33,0,1,122,2,80,51,67,1,2,4,1,0,2,19,5,1142,3,2,73,4090,501,343,184,0,248,1351,6,105,6,1,60,1132,670,258,2,1,129,22,54,252,0,0,18,11,19,4,2,3,31,32,4,0,634,622,1,4,45,1,199,97,0,8,5,0,3,57,0,38,11
Zotu107,3,52,0,0,11,2,10,273,5,5,3,0,8,414,2,5,31,2,47,0,0,0,0,31,112,3,17,335,0,0,0,0,0,14,10,0,13,216,253,0,35,21,15,82,185,12,31,15,6,58,202,6,259,8,886,0,0,2768,0,15,2451,3,0,1629,0,0,2162,2,1,400,0,7
