zotuID,Domain,Phylum,Class,Order,Family,Genus
Zotu9051,Bacteria,Actinobacteria,Actinobacteria_Unc,Actinobacteria_Unc,Actinobacteria_Unc,Actinobacteria_Unc
Zotu9143,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Gemmata
Zotu9291,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Unc
Zotu9405,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,SH-PL14
Zotu9733,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,0319-6G20
Zotu9807,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae_Unc
Zotu9825,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
Zotu9840,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
Zotu2786,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
Zotu1907,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter
Zotu3965,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Unc
Zotu5616,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula
Zotu4299,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Fimbriiglobus
Zotu4502,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
Zotu5133,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter
Zotu7845,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324ade(Marine_group_B),SAR324ade(Marine_group_B),SAR324ade(Marine_group_B)
Zotu8783,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia
Zotu12829,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
Zotu2906,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter
Zotu7530,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Unc,Gammaproteobacteria_Unc,Gammaproteobacteria_Unc
Zotu2456,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella
Zotu4627,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae
Zotu5969,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales
Zotu5121,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
Zotu3580,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu12926,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4_lineage
Zotu7535,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767
Zotu6140,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Unc
Zotu5658,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae
Zotu9237,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast,Chloroplast
Zotu8112,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales
Zotu7245,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,37-13,37-13
Zotu4334,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Zotu10135,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales
Zotu3449,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia
Zotu5064,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Unc,Unc
Zotu5649,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Unc
Zotu6930,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Unc,Unc
Zotu7190,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Unc,Unc
Zotu9461,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
Zotu10852,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_Unc
Zotu3549,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae
Zotu5507,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales
Zotu8620,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group
Zotu10311,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781
Zotu11775,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
Zotu12098,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,JCM_18997
Zotu6350,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10
Zotu6952,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Unc,Bacteroidia_Unc,Bacteroidia_Unc
Zotu8961,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast,Chloroplast
Zotu8988,Bacteria,Actinobacteria,Acidimicrobiia,Unc,Unc,Unc
Zotu12551,Bacteria,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebyaceae_Unc
Zotu12706,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter
Zotu13163,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
Zotu6125,Bacteria,Patescibacteria,Unc,Unc,Unc,Unc
Zotu10037,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera
Zotu10042,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas
Zotu10117,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_Unc,Parcubacteria_Unc,Parcubacteria_Unc
Zotu10295,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangiaceae_Unc
Zotu10412,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,AKYG1722,AKYG1722
Zotu10468,Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,SJA-28,SJA-28
Zotu10500,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast,Chloroplast
Zotu10735,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus
Zotu10741,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Crassaminicella
Zotu10752,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_Unc
Zotu10807,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales
Zotu10816,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Zotu11181,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Unc
